,Epsilon 0.05,Epsilon 0.10,Epsilon 0.20,Epsilon 0.30,Epsilon 0.40,Epsilon 0.50
107,7.4575,10.0075,10.3425,9.47,8.6325,7.59
108,7.4825,10.015,10.28,9.41,8.4475,7.64
109,7.515,9.985,10.26,9.445,8.5175,7.54
110,7.655,10.07,10.425,9.355,8.54,7.37
111,7.65,10.0325,10.375,9.675,8.47,7.525
112,7.675,10.09,10.32,9.49,8.475,7.395
113,7.68,10.0525,10.3775,9.5825,8.55,7.53
114,7.74,10.14,10.4725,9.55,8.39,7.5025
115,7.8125,10.1825,10.29,9.615,8.575,7.35
116,7.8575,10.19,10.3575,9.4825,8.345,7.3575
117,7.875,10.19,10.4075,9.505,8.5975,7.6675
118,7.905,10.2525,10.2775,9.5625,8.555,7.585
119,8.0075,10.26,10.2825,9.5075,8.55,7.395
120,7.9825,10.2975,10.385,9.3825,8.665,7.475
121,8.075,10.2325,10.4125,9.465,8.52,7.4075
122,8.0625,10.3425,10.3475,9.435,8.3875,7.6375
123,8.0625,10.365,10.29,9.445,8.5075,7.55
124,8.1725,10.3675,10.41,9.4925,8.505,7.535
125,8.13,10.38,10.395,9.38,8.5725,7.47
126,8.1525,10.3175,10.35,9.5825,8.4925,7.5425
127,8.235,10.4,10.5275,9.5375,8.305,7.59
128,8.2825,10.41,10.4,9.4325,8.49,7.4625
129,8.265,10.4775,10.425,9.5525,8.5925,7.54
130,8.315,10.4925,10.445,9.535,8.5125,7.5325
131,8.35,10.5225,10.415,9.49,8.595,7.41
132,8.4025,10.575,10.3275,9.4075,8.5675,7.505
133,8.4475,10.5225,10.41,9.4175,8.72,7.4525
134,8.4575,10.47,10.495,9.42,8.545,7.485
135,8.48,10.605,10.4325,9.6725,8.5675,7.4475
136,8.56,10.5675,10.44,9.4375,8.4625,7.5525
137,8.5875,10.655,10.365,9.5675,8.49,7.575
138,8.5775,10.6575,10.44,9.4575,8.4525,7.4475
139,8.6475,10.5825,10.4925,9.6425,8.47,7.5825
140,8.605,10.59,10.44,9.52,8.515,7.565
141,8.655,10.65,10.385,9.455,8.485,7.46
142,8.69,10.6825,10.4225,9.5675,8.585,7.4325
143,8.7375,10.62,10.3725,9.59,8.37,7.625
144,8.735,10.6825,10.4325,9.5175,8.425,7.6125
145,8.775,10.725,10.48,9.505,8.445,7.385
146,8.7975,10.685,10.4475,9.4925,8.5475,7.2
147,8.805,10.705,10.5125,9.44,8.46,7.5575
148,8.855,10.695,10.5425,9.505,8.4325,7.4775
149,8.85,10.7525,10.4825,9.5475,8.335,7.495
150,8.915,10.7375,10.28,9.545,8.5575,7.5375
151,8.99,10.8025,10.415,9.5725,8.59,7.555
152,9.0,10.835,10.485,9.47,8.4725,7.5825
153,8.9775,10.7725,10.4,9.385,8.485,7.4475
154,9.0375,10.84,10.6,9.42,8.67,7.65
155,9.07,10.8175,10.3925,9.5125,8.625,7.515
156,9.08,10.8525,10.2925,9.5725,8.345,7.6075
157,9.0125,10.855,10.625,9.64,8.5025,7.4625
158,9.08,10.7975,10.5325,9.49,8.38,7.575
159,9.1475,10.9125,10.5225,9.4875,8.5375,7.595
160,9.0625,10.8925,10.5125,9.465,8.4575,7.4375
161,9.185,10.8625,10.5175,9.525,8.54,7.4625
162,9.22,10.8525,10.5025,9.52,8.545,7.4875
163,9.22,10.8075,10.43,9.4075,8.5375,7.435
164,9.29,10.885,10.4975,9.4525,8.57,7.355
165,9.35,10.87,10.4025,9.445,8.5225,7.58
166,9.31,10.9275,10.5125,9.4325,8.7925,7.45
167,9.3625,10.9325,10.42,9.4525,8.385,7.475
168,9.335,10.8725,10.445,9.51,8.4575,7.4125
169,9.43,10.89,10.515,9.35,8.3625,7.4675
170,9.42,10.9,10.475,9.4075,8.51,7.525
171,9.495,10.99,10.4875,9.505,8.5075,7.5675
172,9.4175,10.9475,10.475,9.5475,8.4775,7.5875
173,9.4925,11.045,10.44,9.435,8.2925,7.63
174,9.4575,10.905,10.445,9.45,8.445,7.3875
175,9.57,10.965,10.37,9.4075,8.56,7.5375
176,9.5575,11.0625,10.46,9.615,8.51,7.4775
177,9.5675,11.0225,10.5125,9.6425,8.6275,7.4225
178,9.63,11.0975,10.51,9.445,8.515,7.3925
179,9.6425,11.085,10.5375,9.5175,8.4325,7.4175
180,9.635,11.0225,10.4875,9.4925,8.5025,7.41
181,9.7075,11.14,10.4775,9.5075,8.44,7.465
182,9.7,11.04,10.5525,9.485,8.4375,7.64
183,9.695,11.0625,10.4575,9.41,8.475,7.535
184,9.73,11.0475,10.4525,9.6175,8.39,7.49
185,9.74,11.0725,10.4775,9.5525,8.5575,7.445
186,9.75,11.0125,10.5225,9.37,8.505,7.465
187,9.745,11.13,10.47,9.385,8.42,7.5275
188,9.7475,11.1425,10.4275,9.59,8.4975,7.5775
189,9.78,11.115,10.625,9.6175,8.4525,7.2875
190,9.8875,11.1425,10.555,9.505,8.365,7.5675
191,9.9375,11.17,10.4875,9.415,8.4925,7.5375
192,9.865,11.1175,10.5125,9.595,8.47,7.41
193,9.8825,11.17,10.54,9.4975,8.42,7.37
194,9.9525,11.1575,10.415,9.52,8.5225,7.5975
195,10.0025,11.0075,10.5125,9.6,8.5225,7.445
196,9.9975,11.1225,10.41,9.565,8.4825,7.6575
197,9.9925,11.185,10.49,9.645,8.35,7.4525
198,9.95,11.155,10.5475,9.5525,8.38,7.56
199,10.015,11.11,10.53,9.465,8.5075,7.515
200,10.0225,11.175,10.4,9.4675,8.575,7.3975
201,10.055,11.18,10.585,9.445,8.42,7.4775
202,10.0725,11.2425,10.48,9.64,8.63,7.485
203,10.03,11.1775,10.4775,9.325,8.53,7.5575
204,10.12,11.1475,10.4125,9.485,8.645,7.35
205,10.0925,11.215,10.42,9.52,8.4325,7.4925
206,10.2025,11.23,10.4275,9.5275,8.595,7.7
207,10.1075,11.2325,10.49,9.465,8.505,7.5675
208,10.1675,11.135,10.5075,9.545,8.56,7.46
209,10.1925,11.2325,10.5175,9.5125,8.6325,7.4175
210,10.2225,11.215,10.485,9.54,8.5375,7.5475
211,10.195,11.24,10.3925,9.5275,8.575,7.53
212,10.2525,11.1575,10.395,9.56,8.56,7.535
213,10.2225,11.2125,10.4475,9.4425,8.475,7.595
214,10.22,11.26,10.4875,9.6075,8.5975,7.5475
215,10.2775,11.165,10.5075,9.57,8.5075,7.52
216,10.32,11.2275,10.4725,9.325,8.55,7.51
217,10.295,11.2275,10.4625,9.51,8.4425,7.3925
218,10.2925,11.2675,10.3875,9.47,8.305,7.385
219,10.325,11.2675,10.3275,9.4825,8.6875,7.57
220,10.3375,11.2625,10.5525,9.5575,8.5025,7.5525
221,10.4375,11.2675,10.44,9.4925,8.5175,7.5025
222,10.3475,11.26,10.475,9.5275,8.5125,7.425
223,10.3825,11.2275,10.355,9.47,8.4575,7.42
224,10.3625,11.2175,10.4175,9.455,8.535,7.4325
225,10.3775,11.1725,10.49,9.44,8.545,7.51
226,10.46,11.215,10.4875,9.5425,8.54,7.455
227,10.425,11.165,10.3875,9.615,8.3725,7.3975
228,10.395,11.27,10.3275,9.425,8.655,7.5775
229,10.4925,11.3875,10.51,9.5625,8.4575,7.5325
230,10.5025,11.28,10.64,9.4475,8.4825,7.525
231,10.485,11.245,10.5075,9.47,8.3775,7.3975
232,10.4675,11.29,10.5475,9.4225,8.3775,7.555
233,10.48,11.255,10.48,9.3875,8.44,7.43
234,10.5125,11.285,10.4475,9.46,8.7025,7.6125
235,10.495,11.2925,10.44,9.59,8.4825,7.48
236,10.5575,11.345,10.505,9.425,8.575,7.5825
237,10.5575,11.3975,10.385,9.5225,8.4975,7.4175
238,10.62,11.3375,10.48,9.5975,8.4375,7.4875
239,10.57,11.3375,10.5225,9.565,8.3125,7.3525
240,10.6025,11.275,10.4625,9.465,8.4875,7.42
241,10.6075,11.3325,10.59,9.505,8.54,7.4675
242,10.5975,11.3075,10.455,9.555,8.6225,7.4925
243,10.62,11.3725,10.3475,9.5425,8.675,7.4425
244,10.64,11.4225,10.5525,9.4875,8.4825,7.43
245,10.615,11.37,10.465,9.5525,8.4575,7.505
246,10.6925,11.355,10.6325,9.5525,8.6075,7.5275
247,10.695,11.345,10.5275,9.465,8.435,7.485
248,10.67,11.46,10.4825,9.495,8.5025,7.39
249,10.64,11.35,10.4775,9.495,8.525,7.535
250,10.74,11.375,10.4975,9.65,8.405,7.5475
251,10.7475,11.385,10.5075,9.5075,8.49,7.49
252,10.7675,11.2525,10.4475,9.4625,8.4325,7.57
253,10.8075,11.4325,10.4675,9.6475,8.5225,7.445
254,10.7825,11.3875,10.545,9.4925,8.49,7.455
255,10.7475,11.4075,10.3775,9.545,8.61,7.37
256,10.805,11.4325,10.545,9.415,8.4425,7.4775
257,10.795,11.4,10.455,9.5525,8.485,7.445
258,10.8175,11.405,10.5575,9.4225,8.5,7.5175
259,10.805,11.34,10.535,9.5025,8.4975,7.455
260,10.8125,11.2775,10.5,9.5075,8.5525,7.3525
261,10.8275,11.4075,10.6325,9.49,8.5775,7.5375
262,10.89,11.4075,10.5075,9.445,8.5125,7.5725
263,10.8775,11.3725,10.38,9.5275,8.5,7.485
264,10.895,11.47,10.4875,9.54,8.43,7.39
265,10.895,11.3775,10.4275,9.555,8.515,7.515
266,10.8625,11.2675,10.4425,9.4725,8.6025,7.5525
267,10.875,11.34,10.575,9.53,8.4925,7.3325
268,10.8925,11.4425,10.515,9.47,8.51,7.53
269,10.935,11.41,10.4725,9.6125,8.585,7.27
270,10.9575,11.385,10.5125,9.495,8.5075,7.52
271,10.9675,11.465,10.5275,9.5975,8.4625,7.56
272,10.9825,11.39,10.525,9.4375,8.5325,7.4975
273,10.9175,11.3875,10.435,9.455,8.615,7.625
274,10.9725,11.3325,10.4175,9.3925,8.4025,7.6
275,10.925,11.4025,10.5175,9.44,8.4325,7.56
276,10.9975,11.4275,10.505,9.47,8.415,7.49
277,10.93,11.4275,10.4625,9.535,8.4275,7.2925
278,11.0175,11.3775,10.4025,9.575,8.495,7.4475
279,11.02,11.42,10.5175,9.5425,8.5975,7.5575
280,11.02,11.4225,10.3,9.38,8.5025,7.6675
281,11.015,11.385,10.5125,9.47,8.575,7.6125
282,10.9875,11.43,10.5125,9.5375,8.415,7.345
283,10.97,11.4675,10.5,9.45,8.53,7.5325
284,10.99,11.39,10.4775,9.585,8.4,7.305
285,11.065,11.4775,10.5225,9.6075,8.5875,7.54
286,11.0225,11.485,10.475,9.4875,8.75,7.5825
287,11.0325,11.3925,10.4725,9.465,8.6025,7.4825
288,11.0825,11.3975,10.415,9.345,8.5675,7.61
289,11.0525,11.42,10.49,9.3675,8.5875,7.4275
290,11.0375,11.4375,10.4625,9.505,8.4775,7.5325
291,11.1375,11.3675,10.485,9.5125,8.37,7.6325
292,11.085,11.505,10.445,9.535,8.6025,7.6825
293,11.095,11.48,10.515,9.585,8.51,7.5825
294,11.085,11.4125,10.4375,9.5175,8.385,7.5075
295,11.0575,11.37,10.505,9.535,8.5425,7.5425
296,11.1625,11.3775,10.5375,9.5425,8.47,7.5125
297,11.155,11.405,10.52,9.505,8.655,7.3825
298,11.125,11.5075,10.4325,9.52,8.34,7.4725
299,11.16,11.405,10.4025,9.6625,8.5175,7.555
300,11.1275,11.52,10.5475,9.4075,8.48,7.54
301,11.1875,11.4025,10.505,9.575,8.33,7.485
302,11.1475,11.4725,10.4875,9.5925,8.4375,7.4325
303,11.175,11.3375,10.42,9.5375,8.545,7.5575
304,11.2325,11.38,10.485,9.64,8.4775,7.515
305,11.2225,11.4025,10.4575,9.51,8.535,7.5925
306,11.225,11.49,10.5175,9.5525,8.4,7.4925
307,11.2325,11.4975,10.52,9.4475,8.6475,7.6025
308,11.185,11.4025,10.605,9.4325,8.6125,7.495
309,11.21,11.455,10.5125,9.48,8.52,7.59
310,11.2225,11.465,10.485,9.49,8.505,7.405
311,11.2475,11.4575,10.585,9.4075,8.4975,7.38
312,11.3,11.5575,10.5175,9.41,8.6075,7.565
313,11.2575,11.56,10.62,9.4325,8.5775,7.5075
314,11.255,11.44,10.54,9.445,8.3575,7.4825
315,11.265,11.455,10.4475,9.525,8.6425,7.5025
316,11.2925,11.4525,10.5,9.4775,8.49,7.535
317,11.2725,11.435,10.5125,9.56,8.5975,7.475
318,11.3375,11.3975,10.66,9.465,8.4025,7.5925
319,11.3275,11.4275,10.4025,9.46,8.3575,7.555
320,11.3525,11.4625,10.57,9.6125,8.3575,7.4375
321,11.305,11.4925,10.4975,9.5275,8.5375,7.435
322,11.345,11.485,10.585,9.5025,8.52,7.46
323,11.355,11.465,10.57,9.565,8.5,7.5175
324,11.4025,11.515,10.4625,9.42,8.49,7.485
325,11.38,11.4475,10.4925,9.4675,8.4825,7.57
326,11.385,11.5125,10.555,9.4375,8.44,7.4825
327,11.43,11.485,10.37,9.4825,8.385,7.51
328,11.38,11.4625,10.44,9.525,8.505,7.5025
329,11.435,11.505,10.5425,9.485,8.5275,7.54
330,11.415,11.525,10.61,9.445,8.5175,7.585
331,11.3975,11.4575,10.5125,9.6,8.3875,7.4975
332,11.405,11.4925,10.5225,9.4875,8.4375,7.645
333,11.4175,11.445,10.5175,9.4475,8.295,7.4925
