,Epsilon 0.05,Epsilon 0.10,Epsilon 0.20,Epsilon 0.30,Epsilon 0.40,Epsilon 0.50
108,7.4925,10.0175,10.3025,9.625,8.475,7.4975
109,7.535,10.02,10.225,9.415,8.71,7.4725
110,7.565,10.0275,10.235,9.405,8.6675,7.4925
111,7.6175,10.095,10.255,9.4425,8.55,7.55
112,7.665,10.0775,10.31,9.5875,8.5325,7.57
113,7.6825,10.0975,10.455,9.4525,8.5125,7.3125
114,7.74,10.1625,10.3725,9.3275,8.4725,7.6225
115,7.785,10.2225,10.4175,9.545,8.5175,7.3725
116,7.835,10.1675,10.41,9.4125,8.54,7.315
117,7.8725,10.1675,10.4,9.535,8.445,7.5275
118,7.95,10.285,10.3175,9.5325,8.5225,7.62
119,7.9525,10.3225,10.2375,9.4,8.4675,7.5075
120,8.035,10.2725,10.4125,9.4075,8.5775,7.3825
121,8.0525,10.3225,10.37,9.3825,8.4575,7.2975
122,8.0675,10.2925,10.36,9.4625,8.505,7.515
123,8.1,10.2925,10.41,9.475,8.47,7.4875
124,8.1425,10.295,10.395,9.5425,8.4,7.315
125,8.2075,10.45,10.425,9.485,8.55,7.43
126,8.23,10.385,10.4775,9.5325,8.5875,7.55
127,8.2425,10.4375,10.3875,9.5075,8.455,7.54
128,8.3025,10.5,10.405,9.6075,8.5225,7.3625
129,8.305,10.3625,10.44,9.6075,8.7125,7.5375
130,8.3075,10.4425,10.3075,9.405,8.495,7.5675
131,8.33,10.495,10.4125,9.52,8.4575,7.6
132,8.365,10.5925,10.3675,9.51,8.645,7.555
133,8.43,10.49,10.4175,9.5325,8.36,7.5225
134,8.4175,10.5025,10.485,9.57,8.4525,7.505
135,8.4675,10.605,10.465,9.505,8.625,7.45
136,8.5,10.6425,10.5625,9.5025,8.6725,7.49
137,8.5625,10.6375,10.4775,9.6475,8.52,7.51
138,8.6775,10.5925,10.395,9.4625,8.44,7.4675
139,8.6825,10.7375,10.3775,9.43,8.5075,7.5725
140,8.7125,10.7125,10.4975,9.6075,8.6075,7.5225
141,8.645,10.69,10.4075,9.5975,8.5125,7.3375
142,8.67,10.7125,10.4225,9.41,8.4925,7.63
143,8.735,10.72,10.4225,9.415,8.41,7.5075
144,8.82,10.67,10.59,9.385,8.5075,7.725
145,8.8025,10.785,10.41,9.6,8.4625,7.425
146,8.86,10.695,10.5275,9.5325,8.3675,7.535
147,8.86,10.7975,10.4425,9.64,8.5525,7.5025
148,8.8975,10.7,10.545,9.59,8.5325,7.4125
149,8.9475,10.7975,10.485,9.43,8.5075,7.4025
150,8.9825,10.8025,10.5175,9.5175,8.4225,7.3525
151,8.97,10.8525,10.33,9.4275,8.375,7.495
152,9.01,10.83,10.545,9.495,8.55,7.3525
153,9.0075,10.84,10.5275,9.51,8.6475,7.4525
154,8.9925,10.91,10.4675,9.44,8.6175,7.5425
155,9.0475,10.855,10.4725,9.4375,8.48,7.6775
156,9.075,10.9225,10.5125,9.515,8.58,7.4675
157,9.11,10.925,10.395,9.4475,8.5975,7.5275
158,9.155,10.9575,10.53,9.5525,8.4575,7.6
159,9.1375,10.8875,10.445,9.62,8.48,7.54
160,9.1375,10.9,10.4775,9.4925,8.4175,7.505
